"subsample_ID","model","metric","value"
27,"SBM","mcc",-0.104486242414518
27,"Matching_Centrality","balanced_accuracy",0.604460093896714
27,"Matching_Centrality","roc_auc",0.645539906103286
27,"Matching_Centrality","pr_auc",0.344591396654088
27,"Matching_Centrality","f1",0.188235294117647
27,"Matching_Centrality","recall",0.666666666666667
27,"Matching_Centrality","precision",0.10958904109589
27,"Matching_Centrality","specificity",0.542253521126761
27,"Matching_Centrality","mcc",0.112153095075742
27,"TLP","balanced_accuracy",0.561032863849765
27,"TLP","roc_auc",0.644072769953052
27,"TLP","pr_auc",0.381888005382969
27,"TLP","f1",0.173913043478261
27,"TLP","recall",0.333333333333333
27,"TLP","precision",0.117647058823529
27,"TLP","specificity",0.788732394366197
27,"TLP","mcc",0.0788857317075458
29,"Random Forest","balanced_accuracy",0.64724281742354
29,"Random Forest","roc_auc",0.743744207599629
29,"Random Forest","pr_auc",0.343841388809395
29,"Random Forest","f1",0.138613861386139
29,"Random Forest","recall",0.538461538461538
29,"Random Forest","precision",0.0795454545454545
29,"Random Forest","specificity",0.756024096385542
29,"Random Forest","mcc",0.128646191832152
29,"SBM","balanced_accuracy",0.424119555143652
29,"SBM","roc_auc",0.625579240037071
29,"SBM","pr_auc",0.34832030181863
29,"SBM","f1",0.041958041958042
29,"SBM","recall",0.230769230769231
29,"SBM","precision",0.0230769230769231
29,"SBM","specificity",0.617469879518072
29,"SBM","mcc",-0.0596361606339927
29,"Matching_Centrality","balanced_accuracy",0.483665430954588
29,"Matching_Centrality","roc_auc",0.647358665430955
29,"Matching_Centrality","pr_auc",0.33675629453275
29,"Matching_Centrality","f1",0.0615384615384615
29,"Matching_Centrality","recall",0.307692307692308
29,"Matching_Centrality","precision",0.0341880341880342
29,"Matching_Centrality","specificity",0.659638554216867
29,"Matching_Centrality","mcc",-0.0131406860735871
29,"TLP","balanced_accuracy",0.496292863762743
29,"TLP","roc_auc",0.543211306765524
29,"TLP","pr_auc",0.343841388809395
29,"TLP","f1",0.0476190476190476
29,"TLP","recall",0.0769230769230769
29,"TLP","precision",0.0344827586206897
29,"TLP","specificity",0.91566265060241
29,"TLP","mcc",-0.00508822983406015
31,"Random Forest","balanced_accuracy",0.476425438596491
31,"Random Forest","roc_auc",0.635690789473684
31,"Random Forest","pr_auc",0.422924990692809
31,"Random Forest","f1",0.161290322580645
31,"Random Forest","recall",0.3125
31,"Random Forest","precision",0.108695652173913
31,"Random Forest","specificity",0.640350877192982
31,"Random Forest","mcc",-0.0323942161266246
31,"SBM","balanced_accuracy",0.423245614035088
31,"SBM","roc_auc",0.537828947368421
31,"SBM","pr_auc",0.31850534305467
31,"SBM","f1",0.183206106870229
31,"SBM","recall",0.75
31,"SBM","precision",0.104347826086957
31,"SBM","specificity",0.0964912280701754
31,"SBM","mcc",-0.157852354681406
31,"Matching_Centrality","balanced_accuracy",0.581140350877193
31,"Matching_Centrality","roc_auc",0.536184210526316
31,"Matching_Centrality","pr_auc",0.324875179840173
31,"Matching_Centrality","f1",0.252631578947368
31,"Matching_Centrality","recall",0.75
31,"Matching_Centrality","precision",0.151898734177215
31,"Matching_Centrality","specificity",0.412280701754386
31,"Matching_Centrality","mcc",0.109189445465516
31,"TLP","balanced_accuracy",0.513706140350877
31,"TLP","roc_auc",0.735197368421053
31,"TLP","pr_auc",0.422924990692809
31,"TLP","f1",0.0952380952380952
31,"TLP","recall",0.0625
31,"TLP","precision",0.2
31,"TLP","specificity",0.964912280701754
31,"TLP","mcc",0.0468292905790847
33,"Random Forest","balanced_accuracy",0.617353308364544
33,"Random Forest","roc_auc",0.723990844777362
33,"Random Forest","pr_auc",0.368096444680773
33,"Random Forest","f1",0.195121951219512
33,"Random Forest","recall",0.444444444444444
33,"Random Forest","precision",0.125
33,"Random Forest","specificity",0.790262172284644
33,"Random Forest","mcc",0.136814173934455
33,"SBM","balanced_accuracy",0.615792759051186
33,"SBM","roc_auc",0.687682064086558
33,"SBM","pr_auc",0.34114853613613
33,"SBM","f1",0.160493827160494
33,"SBM","recall",0.722222222222222
33,"SBM","precision",0.0902777777777778
33,"SBM","specificity",0.50936329588015
33,"SBM","mcc",0.112671085575758
33,"Matching_Centrality","balanced_accuracy",0.636704119850187
33,"Matching_Centrality","roc_auc",0.704327923429047
33,"Matching_Centrality","pr_auc",0.325165636879273
33,"Matching_Centrality","f1",0.177777777777778
33,"Matching_Centrality","recall",0.666666666666667
33,"Matching_Centrality","precision",0.102564102564103
33,"Matching_Centrality","specificity",0.606741573033708
33,"Matching_Centrality","mcc",0.135193530722446
33,"TLP","balanced_accuracy",0.59394506866417
33,"TLP","roc_auc",0.765709529754474
33,"TLP","pr_auc",0.368096444680773
33,"TLP","f1",0.212765957446809
33,"TLP","recall",0.277777777777778
33,"TLP","precision",0.172413793103448
33,"TLP","specificity",0.910112359550562
33,"TLP","mcc",0.151173923767633
35,"Random Forest","balanced_accuracy",0.576169405815424
35,"Random Forest","roc_auc",0.724294142435735
35,"Random Forest","pr_auc",0.345746610561328
35,"Random Forest","f1",0.157894736842105
35,"Random Forest","recall",0.214285714285714
35,"Random Forest","precision",0.125
35,"Random Forest","specificity",0.938053097345133
35,"Random Forest","mcc",0.118105700692673
35,"SBM","balanced_accuracy",0.428676780446692
35,"SBM","roc_auc",0.409818794774547
35,"SBM","pr_auc",0.36603204216075
35,"SBM","f1",0.0434782608695652
35,"SBM","recall",0.214285714285714
35,"SBM","precision",0.0241935483870968
35,"SBM","specificity",0.64306784660767
35,"SBM","mcc",-0.0583171401224384
35,"Matching_Centrality","balanced_accuracy",0.520438263801096
35,"Matching_Centrality","roc_auc",0.453434471133586
35,"Matching_Centrality","pr_auc",0.367443475452849
35,"Matching_Centrality","f1",0.0792079207920792
35,"Matching_Centrality","recall",0.285714285714286
35,"Matching_Centrality","precision",0.0459770114942529
35,"Matching_Centrality","specificity",0.755162241887906
35,"Matching_Centrality","mcc",0.0185113212769629
35,"TLP","balanced_accuracy",0.531605562579014
35,"TLP","roc_auc",0.554888327012221
35,"TLP","pr_auc",0.345746610561328
35,"TLP","f1",0.0930232558139535
35,"TLP","recall",0.142857142857143
35,"TLP","precision",0.0689655172413793
35,"TLP","specificity",0.920353982300885
35,"TLP","mcc",0.0449247722120245
37,"Random Forest","balanced_accuracy",0.516040543053747
37,"Random Forest","roc_auc",0.644504370466803
37,"Random Forest","pr_auc",0.338815170143013
37,"Random Forest","f1",0.0645161290322581
37,"Random Forest","recall",0.210526315789474
37,"Random Forest","precision",0.0380952380952381
37,"Random Forest","specificity",0.821554770318021
37,"Random Forest","mcc",0.0148189970227285
37,"SBM","balanced_accuracy",0.403849730332899
37,"SBM","roc_auc",0.68514041286963
37,"SBM","pr_auc",0.327864956181723
37,"SBM","f1",0.0318725099601594
37,"SBM","recall",0.210526315789474
37,"SBM","precision",0.0172413793103448
37,"SBM","specificity",0.597173144876325
37,"SBM","mcc",-0.0696841766803774
37,"Matching_Centrality","balanced_accuracy",0.454203087223359
37,"Matching_Centrality","roc_auc",0.638971545471452
37,"Matching_Centrality","pr_auc",0.327397581105485
37,"Matching_Centrality","f1",0.0412371134020619
37,"Matching_Centrality","recall",0.210526315789474
37,"Matching_Centrality","precision",0.0228571428571429
37,"Matching_Centrality","specificity",0.697879858657244
37,"Matching_Centrality","mcc",-0.0354601249617005
37,"TLP","balanced_accuracy",0.505625813650735
37,"TLP","roc_auc",0.598242514413242
37,"TLP","pr_auc",0.338815170143013
37,"TLP","f1",0.0571428571428571
37,"TLP","recall",0.157894736842105
37,"TLP","precision",0.0348837209302326
37,"TLP","specificity",0.853356890459364
37,"TLP","mcc",0.00563249553099204
39,"Random Forest","balanced_accuracy",0.580867850098619
39,"Random Forest","roc_auc",0.617028270874425
39,"Random Forest","pr_auc",0.356177886002556
39,"Random Forest","f1",0.146341463414634
39,"Random Forest","recall",0.333333333333333
39,"Random Forest","precision",0.09375
39,"Random Forest","specificity",0.828402366863905
39,"Random Forest","mcc",0.0922824429815645
39,"SBM","balanced_accuracy",0.479618671926364
39,"SBM","roc_auc",0.556541748849441
39,"SBM","pr_auc",0.335577826582114
39,"SBM","f1",0.0842105263157895
39,"SBM","recall",0.444444444444444
39,"SBM","precision",0.0465116279069767
39,"SBM","specificity",0.514792899408284
39,"SBM","mcc",-0.017872443926682
39,"Matching_Centrality","balanced_accuracy",0.465483234714004
39,"Matching_Centrality","roc_auc",0.514792899408284
39,"Matching_Centrality","pr_auc",0.336583698879194
39,"Matching_Centrality","f1",0.075
39,"Matching_Centrality","recall",0.333333333333333
39,"Matching_Centrality","precision",0.0422535211267606
39,"Matching_Centrality","specificity",0.597633136094675
39,"Matching_Centrality","mcc",-0.0308889843636262
39,"TLP","balanced_accuracy",0.528928336620644
39,"TLP","roc_auc",0.685404339250493
39,"TLP","pr_auc",0.363902807719405
39,"TLP","f1",0.105263157894737
39,"TLP","recall",0.111111111111111
39,"TLP","precision",0.1
39,"TLP","specificity",0.946745562130177
39,"TLP","mcc",0.0550507733458147
41,"Random Forest","balanced_accuracy",0.55577849117175
41,"Random Forest","roc_auc",0.601123595505618
41,"Random Forest","pr_auc",0.343992366389511
41,"Random Forest","f1",0.1
41,"Random Forest","recall",0.285714285714286
41,"Random Forest","precision",0.0606060606060606
41,"Random Forest","specificity",0.825842696629214
41,"Random Forest","mcc",0.0556002846741863
