"fold","network","community","metric","value"
3,"M_SD_Souza_Gomes_2008_secondary_fore","Plant-Seed Dispersers","recall",0.75
3,"M_SD_Souza_Gomes_2008_secondary_fore","Plant-Seed Dispersers","precision",0.176470588235294
3,"M_SD_Souza_Gomes_2008_secondary_fore","Plant-Seed Dispersers","specificity",0.839080459770115
3,"M_SD_Souza_Gomes_2008_secondary_fore","Plant-Seed Dispersers","f1",0.285714285714286
3,"M_SD_Souza_Gomes_2008_secondary_fore","Plant-Seed Dispersers","balanced_accuracy",0.794540229885057
3,"M_SD_Souza_Gomes_2008_secondary_fore","Plant-Seed Dispersers","mcc",0.309830322111796
0,"M_SD_Toledo_2018","Plant-Seed Dispersers","roc_auc",0.857135284139101
0,"M_SD_Toledo_2018","Plant-Seed Dispersers","pr_auc",0.339523601729603
0,"M_SD_Toledo_2018","Plant-Seed Dispersers","recall",0.5
0,"M_SD_Toledo_2018","Plant-Seed Dispersers","precision",0.257142857142857
0,"M_SD_Toledo_2018","Plant-Seed Dispersers","specificity",0.950381679389313
0,"M_SD_Toledo_2018","Plant-Seed Dispersers","f1",0.339622641509434
0,"M_SD_Toledo_2018","Plant-Seed Dispersers","balanced_accuracy",0.725190839694656
0,"M_SD_Toledo_2018","Plant-Seed Dispersers","mcc",0.328355738169319
1,"M_PL_Dicks2002-2","Plant-Pollinator","roc_auc",0.82546351874083
1,"M_PL_Dicks2002-2","Plant-Pollinator","pr_auc",0.343298439360511
1,"M_PL_Dicks2002-2","Plant-Pollinator","recall",0.352941176470588
1,"M_PL_Dicks2002-2","Plant-Pollinator","precision",0.113207547169811
1,"M_PL_Dicks2002-2","Plant-Pollinator","specificity",0.893424036281179
1,"M_PL_Dicks2002-2","Plant-Pollinator","f1",0.171428571428571
1,"M_PL_Dicks2002-2","Plant-Pollinator","balanced_accuracy",0.623182606375884
1,"M_PL_Dicks2002-2","Plant-Pollinator","mcc",0.145598765803234
2,"M_PL_Burkle2013","Plant-Pollinator","roc_auc",0.819684512428298
2,"M_PL_Burkle2013","Plant-Pollinator","pr_auc",0.351463249206779
2,"M_PL_Burkle2013","Plant-Pollinator","recall",0.64
2,"M_PL_Burkle2013","Plant-Pollinator","precision",0.134453781512605
2,"M_PL_Burkle2013","Plant-Pollinator","specificity",0.803059273422562
2,"M_PL_Burkle2013","Plant-Pollinator","f1",0.222222222222222
2,"M_PL_Burkle2013","Plant-Pollinator","balanced_accuracy",0.721529636711281
2,"M_PL_Burkle2013","Plant-Pollinator","mcc",0.224223203424197
0,"M_PL_Kaiser-Bunbury_2014_061_24","Plant-Pollinator","roc_auc",0.802631578947368
0,"M_PL_Kaiser-Bunbury_2014_061_24","Plant-Pollinator","pr_auc",0.366750961021124
0,"M_PL_Kaiser-Bunbury_2014_061_24","Plant-Pollinator","recall",0.6
0,"M_PL_Kaiser-Bunbury_2014_061_24","Plant-Pollinator","precision",0.193548387096774
0,"M_PL_Kaiser-Bunbury_2014_061_24","Plant-Pollinator","specificity",0.835526315789474
0,"M_PL_Kaiser-Bunbury_2014_061_24","Plant-Pollinator","f1",0.292682926829268
0,"M_PL_Kaiser-Bunbury_2014_061_24","Plant-Pollinator","balanced_accuracy",0.717763157894737
0,"M_PL_Kaiser-Bunbury_2014_061_24","Plant-Pollinator","mcc",0.266452439470973
3,"A_HP_Pilosof2013_1987","Host-Parasite","roc_auc",0.769577205882353
3,"A_HP_Pilosof2013_1987","Host-Parasite","pr_auc",0.350815942861171
3,"A_HP_Pilosof2013_1987","Host-Parasite","recall",0.5625
3,"A_HP_Pilosof2013_1987","Host-Parasite","precision",0.0978260869565217
3,"A_HP_Pilosof2013_1987","Host-Parasite","specificity",0.755882352941176
3,"A_HP_Pilosof2013_1987","Host-Parasite","f1",0.166666666666667
3,"A_HP_Pilosof2013_1987","Host-Parasite","balanced_accuracy",0.659191176470588
3,"A_HP_Pilosof2013_1987","Host-Parasite","mcc",0.150678941515594
0,"M_PL_Kaiser-Bunbury_2014_061_03","Plant-Pollinator","roc_auc",0.873333333333333
0,"M_PL_Kaiser-Bunbury_2014_061_03","Plant-Pollinator","pr_auc",0.380960791593777
0,"M_PL_Kaiser-Bunbury_2014_061_03","Plant-Pollinator","recall",0.6
0,"M_PL_Kaiser-Bunbury_2014_061_03","Plant-Pollinator","precision",0.25
0,"M_PL_Kaiser-Bunbury_2014_061_03","Plant-Pollinator","specificity",0.85
0,"M_PL_Kaiser-Bunbury_2014_061_03","Plant-Pollinator","f1",0.352941176470588
0,"M_PL_Kaiser-Bunbury_2014_061_03","Plant-Pollinator","balanced_accuracy",0.725
0,"M_PL_Kaiser-Bunbury_2014_061_03","Plant-Pollinator","mcc",0.30906126888455
0,"M_PL_Kaiser-Bunbury_2010_060_15","Plant-Pollinator","roc_auc",0.732366733658723
0,"M_PL_Kaiser-Bunbury_2010_060_15","Plant-Pollinator","pr_auc",0.370031721061586
0,"M_PL_Kaiser-Bunbury_2010_060_15","Plant-Pollinator","recall",0.592592592592593
0,"M_PL_Kaiser-Bunbury_2010_060_15","Plant-Pollinator","precision",0.128
0,"M_PL_Kaiser-Bunbury_2010_060_15","Plant-Pollinator","specificity",0.718346253229974
0,"M_PL_Kaiser-Bunbury_2010_060_15","Plant-Pollinator","f1",0.210526315789474
0,"M_PL_Kaiser-Bunbury_2010_060_15","Plant-Pollinator","balanced_accuracy",0.655469422911283
0,"M_PL_Kaiser-Bunbury_2010_060_15","Plant-Pollinator","mcc",0.167227777868173
1,"M_PL_Brosi2017_Judd_Falls_TH_2014_Manipulation","Plant-Pollinator","roc_auc",0.791383219954648
1,"M_PL_Brosi2017_Judd_Falls_TH_2014_Manipulation","Plant-Pollinator","pr_auc",0.40216299924438
1,"M_PL_Brosi2017_Judd_Falls_TH_2014_Manipulation","Plant-Pollinator","recall",0.714285714285714
1,"M_PL_Brosi2017_Judd_Falls_TH_2014_Manipulation","Plant-Pollinator","precision",0.263157894736842
1,"M_PL_Brosi2017_Judd_Falls_TH_2014_Manipulation","Plant-Pollinator","specificity",0.777777777777778
1,"M_PL_Brosi2017_Judd_Falls_TH_2014_Manipulation","Plant-Pollinator","f1",0.384615384615385
1,"M_PL_Brosi2017_Judd_Falls_TH_2014_Manipulation","Plant-Pollinator","balanced_accuracy",0.746031746031746
1,"M_PL_Brosi2017_Judd_Falls_TH_2014_Manipulation","Plant-Pollinator","mcc",0.331954492538338
4,"M_SD_Innis_1989_NVF_CNVF","Plant-Seed Dispersers","roc_auc",0.646815751093826
4,"M_SD_Innis_1989_NVF_CNVF","Plant-Seed Dispersers","pr_auc",0.423024251202097
4,"M_SD_Innis_1989_NVF_CNVF","Plant-Seed Dispersers","recall",0.529411764705882
4,"M_SD_Innis_1989_NVF_CNVF","Plant-Seed Dispersers","precision",0.204545454545455
4,"M_SD_Innis_1989_NVF_CNVF","Plant-Seed Dispersers","specificity",0.710743801652893
4,"M_SD_Innis_1989_NVF_CNVF","Plant-Seed Dispersers","f1",0.295081967213115
4,"M_SD_Innis_1989_NVF_CNVF","Plant-Seed Dispersers","balanced_accuracy",0.620077783179387
4,"M_SD_Innis_1989_NVF_CNVF","Plant-Seed Dispersers","mcc",0.1693633900153
1,"A_HP_Macfadyen2009_paras-herb_A2","Host-Parasite","roc_auc",0.734352256186317
1,"A_HP_Macfadyen2009_paras-herb_A2","Host-Parasite","pr_auc",0.343970482396557
1,"A_HP_Macfadyen2009_paras-herb_A2","Host-Parasite","recall",0.333333333333333
1,"A_HP_Macfadyen2009_paras-herb_A2","Host-Parasite","precision",0.214285714285714
1,"A_HP_Macfadyen2009_paras-herb_A2","Host-Parasite","specificity",0.951965065502183
1,"A_HP_Macfadyen2009_paras-herb_A2","Host-Parasite","f1",0.260869565217391
1,"A_HP_Macfadyen2009_paras-herb_A2","Host-Parasite","balanced_accuracy",0.642649199417758
1,"A_HP_Macfadyen2009_paras-herb_A2","Host-Parasite","mcc",0.231286510159281
4,"M_PL_Lara-Romero_2016_penalara-Encroachedpasture-1","Plant-Pollinator","roc_auc",0.825694783032667
4,"M_PL_Lara-Romero_2016_penalara-Encroachedpasture-1","Plant-Pollinator","pr_auc",0.351446194982873
4,"M_PL_Lara-Romero_2016_penalara-Encroachedpasture-1","Plant-Pollinator","recall",0.5
4,"M_PL_Lara-Romero_2016_penalara-Encroachedpasture-1","Plant-Pollinator","precision",0.132075471698113
4,"M_PL_Lara-Romero_2016_penalara-Encroachedpasture-1","Plant-Pollinator","specificity",0.843003412969283
4,"M_PL_Lara-Romero_2016_penalara-Encroachedpasture-1","Plant-Pollinator","f1",0.208955223880597
4,"M_PL_Lara-Romero_2016_penalara-Encroachedpasture-1","Plant-Pollinator","balanced_accuracy",0.671501706484642
4,"M_PL_Lara-Romero_2016_penalara-Encroachedpasture-1","Plant-Pollinator","mcc",0.189339609163694
2,"M_PL_Kaiser-Bunbury_2014_061_37","Plant-Pollinator","roc_auc",0.65528781793842
2,"M_PL_Kaiser-Bunbury_2014_061_37","Plant-Pollinator","pr_auc",0.357002603125526
2,"M_PL_Kaiser-Bunbury_2014_061_37","Plant-Pollinator","recall",0.333333333333333
2,"M_PL_Kaiser-Bunbury_2014_061_37","Plant-Pollinator","precision",0.130434782608696
2,"M_PL_Kaiser-Bunbury_2014_061_37","Plant-Pollinator","specificity",0.879518072289157
