"fraction","metric","avg_fixed_value","avg_lower_bound","avg_upper_bound","ci_lower_fixed","ci_upper_fixed","ci_lower_lower_bound","ci_upper_lower_bound","ci_lower_upper_bound","ci_upper_upper_bound"
0.25,"precision",0.180036319875653,0.181088664615082,0.938482112200929,0.17271601835221,0.187356621399096,0.173615946649467,0.188561382580696,0.927615333059374,0.949348891342485
0.25,"recall",0.551005823098974,0.132274286493144,0.624525564383643,0.532319279107984,0.569692367089964,0.123010047392781,0.141538525593507,0.603809355413879,0.645241773353408
0.25,"specificity",0.801058840260075,0.736692065694663,0.952629347044017,0.789201319932894,0.812916360587256,0.721653404949058,0.751730726440268,0.942158963563388,0.963099730524647
0.25,"f1",0.263740668477281,0.142150893202097,0.704604069971793,0.254404107270782,0.273077229683779,0.135000465561563,0.149301320842632,0.68996176823252,0.719246371711065
0.25,"mcc",0.22169741830214,-0.145169185835027,0.670921743628973,0.21156494070488,0.2318298958994,-0.154456917852327,-0.135881453817726,0.657457372293384,0.684386114964563
0.3,"roc_auc",0.775468348779233,0.570196202996094,0.782065269793053,0.768145552545174,0.782791145013291,0.564691383890271,0.575701022101918,0.772375944596318,0.791754594989789
0.3,"pr_auc",0.372226399167872,0.605067522540182,0.605067522540182,0.369184233649421,0.375268564686324,0.603330431005476,0.606804614074889,0.603330431005476,0.606804614074889
0.3,"precision",0.180036319875653,0.181434467244905,0.962340464729471,0.17271601835221,0.187356621399096,0.173883384789353,0.188985549700457,0.953988904104852,0.970692025354089
0.3,"recall",0.551005823098974,0.1163127727639,0.568507536144999,0.532319279107984,0.569692367089964,0.107558093806828,0.125067451720972,0.547161969117969,0.589853103172029
0.3,"specificity",0.801058840260075,0.718274359190849,0.964906121474195,0.789201319932894,0.812916360587256,0.702291546135578,0.734257172246121,0.955365857054982,0.974446385893408
0.3,"f1",0.263740668477281,0.131508600612341,0.670287358338127,0.254404107270782,0.273077229683779,0.124465718762127,0.138551482462554,0.654145545313737,0.686429171362518
0.3,"mcc",0.22169741830214,-0.190601691483539,0.636251053678631,0.21156494070488,0.2318298958994,-0.200932964017237,-0.180270418949841,0.621998180366711,0.650503926990552
0.35,"roc_auc",0.775468348779233,0.584145932776137,0.761609423068743,0.768145552545174,0.782791145013291,0.578016805683077,0.590275059869197,0.751848788640988,0.771370057496498
0.35,"pr_auc",0.372226399167872,0.639108180755067,0.639108180755067,0.369184233649421,0.375268564686324,0.637552540519155,0.64066382099098,0.637552540519155,0.64066382099098
0.35,"precision",0.180036319875653,0.18174542493218,0.976874840494714,0.17271601835221,0.187356621399096,0.174113787965884,0.189377061898475,0.970389566837159,0.983360114152269
0.35,"recall",0.551005823098974,0.104068835022151,0.518558762229047,0.532319279107984,0.569692367089964,0.0956647351941767,0.112472934850126,0.497226803474948,0.539890720983146
0.35,"specificity",0.801058840260075,0.697266645555412,0.973943342501242,0.789201319932894,0.812916360587256,0.680263747060444,0.714269544050381,0.965195842495355,0.982690842507129
0.35,"f1",0.263740668477281,0.122540553804089,0.634425094000492,0.254404107270782,0.273077229683779,0.115569192426625,0.129511915181552,0.617277057400887,0.651573130600096
0.35,"mcc",0.22169741830214,-0.235004046674347,0.597449499971934,0.21156494070488,0.2318298958994,-0.246456527207301,-0.223551566141392,0.582555238229013,0.612343761714855
0.4,"roc_auc",0.775468348779233,0.603791870499089,0.739348483663223,0.768145552545174,0.782791145013291,0.597011218228954,0.610572522769223,0.729569438665227,0.749127528661218
0.4,"pr_auc",0.372226399167872,0.672078332489928,0.672078332489928,0.369184233649421,0.375268564686324,0.670682410238633,0.673474254741223,0.670682410238633,0.673474254741223
0.4,"precision",0.180036319875653,0.182452926558491,0.985294824128389,0.17271601835221,0.187356621399096,0.174722219780836,0.190183633336146,0.980303017513346,0.990286630743432
0.4,"recall",0.551005823098974,0.0948672218610584,0.474181737058171,0.532319279107984,0.569692367089964,0.0866294070870564,0.10310503663506,0.453334481989853,0.49502899212649
0.4,"specificity",0.801058840260075,0.673098727027611,0.980275888128936,0.789201319932894,0.812916360587256,0.654996766163058,0.691200687892165,0.972279783369364,0.988271992888509
0.4,"f1",0.263740668477281,0.115344390709484,0.59904881614308,0.254404107270782,0.273077229683779,0.108353106897556,0.122335674521411,0.581417606051954,0.616680026234205
0.4,"mcc",0.22169741830214,-0.278923266746195,0.55644362351463,0.21156494070488,0.2318298958994,-0.291385388865454,-0.266461144626937,0.541409322370862,0.571477924658398
0.45,"roc_auc",0.775468348779233,0.619955606180528,0.721878208420914,0.768145552545174,0.782791145013291,0.61243739374713,0.627473818613925,0.712416228488923,0.731340188352905
0.45,"pr_auc",0.372226399167872,0.703826221604632,0.703826221604632,0.369184233649421,0.375268564686324,0.702600923351056,0.705051519858209,0.702600923351056,0.705051519858209
0.45,"precision",0.180036319875653,0.183465387841712,0.990484183255631,0.17271601835221,0.187356621399096,0.175607705618246,0.191323070065179,0.98657461257288,0.994393753938382
0.45,"recall",0.551005823098974,0.0878291084996292,0.435869557530887,0.532319279107984,0.569692367089964,0.0796409104653799,0.0960173065338785,0.415708450535098,0.456030664526676
0.45,"specificity",0.801058840260075,0.645293318615834,0.984839407575171,0.789201319932894,0.812916360587256,0.626019234219138,0.664567403012529,0.977435113719273,0.992243701431069
0.45,"f1",0.263740668477281,0.109532761914379,0.566143926069424,0.254404107270782,0.273077229683779,0.102436619122167,0.116628904706592,0.548315321876343,0.583972530262504
0.45,"mcc",0.22169741830214,-0.323139694123194,0.516013050498671,0.21156494070488,0.2318298958994,-0.336557819945036,-0.309721568301353,0.501076920354468,0.530949180642874
0.5,"roc_auc",0.775468348779233,0.636151368633314,0.703717881903577,0.768145552545174,0.782791145013291,0.628052617352632,0.644250119913996,0.6942855722596,0.713150191547554
0.5,"pr_auc",0.372226399167872,0.734768874752223,0.734768874752223,0.369184233649421,0.375268564686324,0.733695010361779,0.735842739142667,0.733695010361779,0.735842739142667
0.5,"precision",0.180036319875653,0.185646511828099,0.994083293264179,0.17271601835221,0.187356621399096,0.177561714920719,0.193731308735479,0.991035919162655,0.997130667365703
0.5,"recall",0.551005823098974,0.0831616157294419,0.402669793051133,0.532319279107984,0.569692367089964,0.0748037255550828,0.091519505903801,0.383246247585025,0.422093338517242
0.5,"specificity",0.801058840260075,0.613282784680913,0.988544182771556,0.789201319932894,0.812916360587256,0.592888571042188,0.633676998319637,0.981638641217208,0.995449724325903
0.5,"f1",0.263740668477281,0.105656186764531,0.536013837551439,0.254404107270782,0.273077229683779,0.098238302952971,0.113074070576091,0.518144540674092,0.553883134428787
0.5,"mcc",0.22169741830214,-0.367458539107169,0.476938347923033,0.21156494070488,0.2318298958994,-0.381518838530374,-0.353398239683964,0.462191456802378,0.491685239043687
